id,name,2019,2020,2021,2022,2023,2024
a0434e0e-cd55-409e-9dca-3acce9086e8e,Uczelnia Państwowa im. Jana Grodka w Sanoku,1178,1302,1387,1265,1315,1399
fb71b030-d0fe-4b46-bac3-ede82f662a7e,Akademia Nauk Stosowanych Wincentego Pola w Lublinie,1846,2245,2811,2990,2981,2838
ea6c2a5f-cea7-406c-84ca-cb69452fa94e,Uniwersytet Bielsko-Bialski,4149,4088,4098,4039,4166,4565
f3afb96b-3be4-453c-bf67-d5dccba3d1cc,Uniwersytet Gdański,21816,21600,20859,19666,19652,19852
1035286a-f2d5-4650-b309-309eb37965e9,Akademia Sztuk Pięknych w Katowicach,503,515,502,498,506,502
2a791fc9-d5ce-41b0-bb08-f24378cfcce1,Lotnicza Akademia Wojskowa,1051,958,896,784,742,735
6c228298-0fe5-4bd9-ab9c-9195660bbbb8,"Państwowa Wyższa Szkoła Filmowa, Telewizyjna i Teatralna im. Leona Schillera w Łodzi",854,869,859,852,840,821
1c749f42-2a28-46f6-a59f-63d4e8541713,Pomorski Uniwersytet Medyczny w Szczecinie,4257,4526,4929,5178,5414,5409
ef468625-bba7-4557-8b5b-d6caea8d296c,Akademia Muzyczna im. Ignacego Jana Paderewskiego w Poznaniu,715,736,758,716,710,732
29513b0c-5ba5-442c-9f85-1f1798b48059,Wyższa Szkoła Komunikacji Społecznej w Gdyni,112,95,81,84,82,83
26a44938-2d93-4220-85ea-ea68221f591d,Uniwersytet Artystyczny im. Magdaleny Abakanowicz w Poznaniu,1382,1336,1223,1251,1313,1386
023319de-3ea4-4e9d-b693-ff0c3f2e62fb,Collegium Da Vinci z siedzibą w Poznaniu,2218,2304,2535,3010,3375,4111
2072dfce-faec-4917-bcb2-9421f61fe387,Uniwersytet Medyczny w Łodzi,9430,9785,9755,9636,9311,9194
e49e40ae-52f4-433e-b580-1e15df799750,Warszawska Wyższa Szkoła Informatyki w Warszawie,1461,1463,1305,1129,984,893
940986f1-12da-4738-b815-cfa903f55dbc,Akademia Nauk Stosowanych im. Jana Amosa Komeńskiego w Lesznie,1628,1645,1413,1233,1146,1180
5011bcd5-dfb1-41ed-84b0-5bd51ce0832c,Uniwersytet Łódzki,24599,24156,23541,23084,23004,23289
c10b9c4e-c1a9-40f3-af77-964c8c1971e2,Akademia Nauk Stosowanych im. Józefa Gołuchowskiego,927,955,1244,1199,1166,1206
a029c48a-4b25-4ee7-bae6-8296a405206b,Wyższa Szkoła Przedsiębiorczości i Administracji w Lublinie,1808,2044,2125,2649,2267,2372
4a3a07ba-2a94-4bae-87b7-047d94aa4949,Warszawska Szkoła Wyższa z siedzibą w Otwocku,98,,,,,
9d1eca9c-696f-4908-b65b-8c54eadeb76e,Polsko-Japońska Akademia Technik Komputerowych,5521,6501,6892,7802,8168,8132
abcd38c3-bc4b-4b17-8dcf-9210f0fba35e,Uniwersytet Szczeciński,11265,11228,10384,9904,10173,10723
ae7be1ba-27cb-4376-96c5-e98a2c040730,Akademia Sztuk Pięknych w Warszawie,1558,1531,1549,1602,1620,1599
8c7212d0-2c9e-4105-8dd7-c9a54c862bc2,Międzynarodowa Akademia Nauk Stosowanych w Łomży,832,709,873,1009,1031,1262
