id,name,objectType,country,regon,countryCd,pib,institutionUuid,lNumber,managerName,eMail,nip,www,iKindName,postalCd,bNumber,phone,iStartDT,dataSource,status,statusCode,city,siTypeName,street,voivodeship,lastRefresh,krs,institutionUid,siTypeCd,uTypeCd,voivodeshipCode,addresses,supervisingInstitutions,statuses,types,names
308f331f-e875-42f8-b6b4-238dd5cd6619,Advanced Diagnostic Equipment Sp. z o.o.,REPORTS_INSTITUTION,Polska,385908741,167,0,308f331f-e875-42f8-b6b4-238dd5cd6619,,,,6772452538,http://adediabetics.pl/,,31-352,,603 603 473,,POLON,Działająca,1,Kraków,inna instytucja naukowa,ul. Włodzimierza Tetmajera,małopolskie,1750836916058,0000835669,,4,,6,Polska | małopolskie | Kraków | 31-352 | ul. Włodzimierza Tetmajera |  |  | 2020-02-20,2b2e64d0-dc32-4575-ba6c-073f0757f4f9 | Minister Nauki i Szkolnictwa Wyższego (poprzednio MEiN) | 2020-02-20,Działająca | 2020-02-20,inna instytucja naukowa | 2020-02-20,Advanced Diagnostic Equipment Sp. z o.o. | 2020-02-20
404c795b-7344-452b-b4c2-4a7a3496dd9e,Akademia Ateneum w Gdańsku,REPORTS_INSTITUTION,Polska,193055907,167,0,404c795b-7344-452b-b4c2-4a7a3496dd9e,,WALDEMAR,,9570885833,http://www.ateneum.edu.pl,,80-802,,058-7220880,,POLON,Działająca,1,Gdańsk,,ul. 3 Maja,pomorskie,1765978204502,,bv_NVUANJe8L6O3NjFnvhDw,,,11,Polska | pomorskie | Gdańsk | 80-802 | ul. 3 Maja |  |  | 2004-07-02,2b2e64d0-dc32-4575-ba6c-073f0757f4f9 | Minister Nauki i Szkolnictwa Wyższego (poprzednio MEiN) | 2004-07-02,Działająca | 2004-07-02,zawodowa | 2004-07-02 ; akademicka | 2022-10-01,Akademia Ateneum w Gdańsku | 2023-01-01 ; Ateneum – Akademia Nauk Stosowanych | 2022-03-01 ; Ateneum - Szkoła Wyższa w Gdańsku | 2004-07-02
7b1ecf5e-1c1d-40d0-91a9-cbde801c4409,Akademia Bialska im. Jana Pawła II,REPORTS_INSTITUTION,Polska,030310705,167,0,7b1ecf5e-1c1d-40d0-91a9-cbde801c4409,,Jerzy,,5372131853,http://www.akademiabialska.pl,,21-500,,83 344 99 00,,POLON,Działająca,1,Biała Podlaska,,ul. Sidorska,lubelskie,1760436905550,,b8lEq4e8f8p1V09_nBsO4Ew,,,3,Polska | lubelskie | Biała Podlaska | 21-500 | ul. Sidorska |  |  | 2000-08-01,2b2e64d0-dc32-4575-ba6c-073f0757f4f9 | Minister Nauki i Szkolnictwa Wyższego (poprzednio MEiN) | 2000-08-01,Działająca | 2000-08-01,zawodowa | 2000-08-01 ; akademicka | 2022-10-01 ; zawodowa | 2023-06-13,Państwowa Szkoła Wyższa im. Papieża Jana Pawła II w Białej Podlaskiej | 2000-08-01 ; Akademia Bialska im. Jana Pawła II | 2023-06-01 ; Akademia Bialska Nauk Stosowanych im. Jana Pawła II | 2022-03-01
1cb32064-70d2-4de8-b43f-8e67b8a4286b,Akademia Finansów i Biznesu Vistula,REPORTS_INSTITUTION,Polska,011021150,167,0,1cb32064-70d2-4de8-b43f-8e67b8a4286b,,Wawrzyniec,,5260009816,http://www.vistula.edu.pl,,02-787,,+48 22-45-72-300,,POLON,Działająca,1,Warszawa,,ul. Stokłosy,mazowieckie,1770907873785,,bWUqn_ejveFbzZwtYz-wxhQ,,,7,Polska | mazowieckie | Warszawa | 02-787 | ul. Stokłosy |  |  | 1992-01-22,2b2e64d0-dc32-4575-ba6c-073f0757f4f9 | Minister Nauki i Szkolnictwa Wyższego (poprzednio MEiN) | 1992-01-22,Działająca | 1992-01-22,akademicka | 1992-01-22,Akademia Finansów w Warszawie | 1992-01-22 ; Akademia Finansów i Biznesu Vistula | 2012-11-02
919617f6-b49f-4075-b60b-465136e8dcb3,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,REPORTS_INSTITUTION,Polska,000001577,167,0,919617f6-b49f-4075-b60b-465136e8dcb3,,Jerzy,,6750001923,http://www.agh.edu.pl,,30-059,,12-617-45-54,,POLON,Działająca,1,Kraków,,al. Adama Mickiewicza,małopolskie,1750836897143,,bC-42HEo3GjCw621B3jcCSw,,,6,Polska | małopolskie | Kraków | 30-059 | al. Adama Mickiewicza |  |  | 1919-10-20,2b2e64d0-dc32-4575-ba6c-073f0757f4f9 | Minister Nauki i Szkolnictwa Wyższego (poprzednio MEiN) | 1919-10-20,Działająca | 1919-10-20,akademicka | 1919-10-20,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie | 1919-10-20
58dcc6b4-cc40-4c1f-ad2d-46bc7fa9f3b5,Akademia Górnośląska im. Wojciecha Korfantego w Katowicach,REPORTS_INSTITUTION,Polska,272199522,167,0,58dcc6b4-cc40-4c1f-ad2d-46bc7fa9f3b5,,Marta,,9540007281,http://www.gwsh.pl,,40-659,,323570539,,POLON,Działająca,1,Katowice,,ul. Harcerzy Września 1939,śląskie,1774444506227,,bQVbZK-Wncd5dMHDOcbWljA,,,12,Polska | śląskie | Katowice | 40-659 | ul. Harcerzy Września 1939 |  |  | 1994-06-15,2b2e64d0-dc32-4575-ba6c-073f0757f4f9 | Minister Nauki i Szkolnictwa Wyższego (poprzednio MEiN) | 1994-06-15,Działająca | 1994-06-15,akademicka | 1994-06-15,Górnośląska Wyższa Szkoła Handlowa im. Wojciecha Korfantego w Katowicach | 1994-06-15 ; Akademia Górnośląska im. Wojciecha Korfantego w Katowicach | 2022-07-07
dc6549a6-0a9e-4dc3-831c-451447b68c58,Akademia Handlowa Nauk Stosowanych w Radomiu,REPORTS_INSTITUTION,Polska,670195619,167,0,dc6549a6-0a9e-4dc3-831c-451447b68c58,,Emilia,,9482027811,http://www.ahns.pl,,26-600,,048 363 22 90,,POLON,Działająca,1,Radom,,ul. Tadeusza Mazowieckiego,mazowieckie,1750836897219,,bk51SOeFrmCTNP6vIgw4bLg,,,7,Polska | mazowieckie | Radom | 26-600 | ul. Romualda Traugutta |  |  | 1998-07-29 ; Polska | mazowieckie | Radom | 26-600 | ul. Tadeusza Mazowieckiego |  |  | 2020-12-03,2b2e64d0-dc32-4575-ba6c-073f0757f4f9 | Minister Nauki i Szkolnictwa Wyższego (poprzednio MEiN) | 1998-07-29,Działająca | 1998-07-29,zawodowa | 1998-07-29,Wyższa Szkoła Handlowa w Radomiu | 1998-07-29 ; Akademia Handlowa Nauk Stosowanych w Radomiu | 2022-01-01
187760da-93f3-452f-962e-dcbd2218aacc,Akademia Humanistyczna im. Aleksandra Gieysztora w Pułtusku,REPORTS_INSTITUTION,Polska,130176830,167,0,187760da-93f3-452f-962e-dcbd2218aacc,,,,5681149880,http://www.ah.edu.pl,,06-100,,(23) 692 98 13,,POLON,Przekształcona,4,Pułtusk,,ul. Ignacego Daszyńskiego,mazowieckie,1750836894948,,bucRvPQexrXTzgO_8jilitA,,,7,Polska | mazowieckie | Pułtusk | 06-100 | ul. Ignacego Daszyńskiego |  |  | 1994-07-21,2b2e64d0-dc32-4575-ba6c-073f0757f4f9 | Minister Nauki i Szkolnictwa Wyższego (poprzednio MEiN) | 1994-07-21,Działająca | 1994-07-21 ; Przekształcona | 2019-09-30,akademicka | 1994-07-21,Akademia Humanistyczna im. Aleksandra Gieysztora w Pułtusku | 1994-07-21
669fee72-713b-4509-99a3-81f522cb7159,Akademia Humanistyczno-Ekonomiczna w Łodzi,REPORTS_INSTITUTION,Polska,470810663,167,0,669fee72-713b-4509-99a3-81f522cb7159,,Wiesław,,7251014115,http://www.ahe.lodz.pl,,90-212,,"42 63-15-806 ",,POLON,Działająca,1,Łódź,,ul. dr. Seweryna Sterlinga,łódzkie,1760082676986,,bo6KrGUZho5cvVHNXGZkASw,,,5,Polska | łódzkie | Łódź | 90-212 | ul. dr. Seweryna Sterlinga |  |  | 1993-10-05,2b2e64d0-dc32-4575-ba6c-073f0757f4f9 | Minister Nauki i Szkolnictwa Wyższego (poprzednio MEiN) | 1993-10-05,Działająca | 1993-10-05,akademicka | 1993-10-05,Akademia Humanistyczno-Ekonomiczna w Łodzi | 1993-10-05
ce89a21a-0e0f-4752-80c8-a8388329a473,Akademia Humanitas,REPORTS_INSTITUTION,Polska,273470470,167,0,ce89a21a-0e0f-4752-80c8-a8388329a473,,Mariusz,,6442446977,http://www.humanitas.edu.pl,,41-200,,32 3631200,,POLON,Działająca,1,Sosnowiec,,ul. Jana Kilińskiego,śląskie,1752050876094,,bMTKVLacAnZ-WNZe5Fj9P5w,,,12,Polska | śląskie | Sosnowiec | 41-200 | ul. Jana Kilińskiego |  |  | 1997-04-23,2b2e64d0-dc32-4575-ba6c-073f0757f4f9 | Minister Nauki i Szkolnictwa Wyższego (poprzednio MEiN) | 1997-04-23,Działająca | 1997-04-23,zawodowa | 1997-04-23 ; akademicka | 2023-02-23,Wyższa Szkoła Humanitas w Sosnowcu | 1997-04-23 ; Akademia Humanitas | 2023-05-18
